has	prefers	count	total
Egypt	Egypt	10	14
Egypt	Morocco	0	
Egypt	Nigeria	0	
Egypt	Senegal	0	
Egypt	Tunisia	0	
Egypt	Australia	0	
Egypt	Iran	0	
Egypt	Japan	0	
Egypt	South Korea	0	
Egypt	Saudi Arabia	5	
Egypt	Belgium	0	
Egypt	Croatia	0	
Egypt	Denmark	0	
Egypt	England	7	
Egypt	France	0	
Egypt	Germany	0	
Egypt	Iceland	0	
Egypt	Poland	0	
Egypt	Portugal	1	
Egypt	Russia	0	
Egypt	Serbia	0	
Egypt	Spain	0	
Egypt	Sweden	0	
Egypt	Switzerland	0	
Egypt	Costa Rica	0	
Egypt	Mexico	0	
Egypt	Panama	0	
Egypt	Argentina	0	
Egypt	Brazil	0	
Egypt	Colombia	0	
Egypt	Peru	0	
Egypt	Uruguay	0	
Egypt	Italy	0	
Egypt	Netherlands	0	
Egypt	Ukraine	0	
Morocco	Morocco	3	3
Morocco	Egypt	1	
Morocco	Nigeria	0	
Morocco	Senegal	0	
Morocco	Tunisia	0	
Morocco	Australia	0	
Morocco	Iran	0	
Morocco	Japan	0	
Morocco	South Korea	0	
Morocco	Saudi Arabia	0	
Morocco	Belgium	0	
Morocco	Croatia	0	
Morocco	Denmark	0	
Morocco	England	2	
Morocco	France	4	
Morocco	Germany	2	
Morocco	Iceland	0	
Morocco	Poland	0	
Morocco	Portugal	0	
Morocco	Russia	0	
Morocco	Serbia	0	
Morocco	Spain	5	
Morocco	Sweden	0	
Morocco	Switzerland	0	
Morocco	Costa Rica	0	
Morocco	Mexico	0	
Morocco	Panama	0	
Morocco	Argentina	0	
Morocco	Brazil	0	
Morocco	Colombia	0	
Morocco	Peru	0	
Morocco	Uruguay	0	
Morocco	Italy	1	
Morocco	Netherlands	5	
Morocco	Ukraine	0	
Nigeria	Nigeria	2	2
Nigeria	Morocco	0	
Nigeria	Egypt	1	
Nigeria	Senegal	0	
Nigeria	Tunisia	0	
Nigeria	Australia	0	
Nigeria	Iran	0	
Nigeria	Japan	0	
Nigeria	South Korea	0	
Nigeria	Saudi Arabia	0	
Nigeria	Belgium	3	
Nigeria	Croatia	0	
Nigeria	Denmark	0	
Nigeria	England	5	
Nigeria	France	1	
Nigeria	Germany	1	
Nigeria	Iceland	0	
Nigeria	Poland	0	
Nigeria	Portugal	0	
Nigeria	Russia	2	
Nigeria	Serbia	0	
Nigeria	Spain	2	
Nigeria	Sweden	0	
Nigeria	Switzerland	0	
Nigeria	Costa Rica	0	
Nigeria	Mexico	0	
Nigeria	Panama	0	
Nigeria	Argentina	0	
Nigeria	Brazil	0	
Nigeria	Colombia	0	
Nigeria	Peru	0	
Nigeria	Uruguay	0	
Nigeria	Italy	1	
Nigeria	Netherlands	1	
Nigeria	Ukraine	0	
Senegal	Senegal	1	1
Senegal	Morocco	0	
Senegal	Nigeria	0	
Senegal	Egypt	0	
Senegal	Tunisia	0	
Senegal	Australia	0	
Senegal	Iran	0	
Senegal	Japan	0	
Senegal	South Korea	0	
Senegal	Saudi Arabia	0	
Senegal	Belgium	1	
Senegal	Croatia	0	
Senegal	Denmark	0	
Senegal	England	10	
Senegal	France	10	
Senegal	Germany	1	
Senegal	Iceland	0	
Senegal	Poland	0	
Senegal	Portugal	0	
Senegal	Russia	0	
Senegal	Serbia	0	
Senegal	Spain	0	
Senegal	Sweden	0	
Senegal	Switzerland	0	
Senegal	Costa Rica	0	
Senegal	Mexico	0	
Senegal	Panama	0	
Senegal	Argentina	0	
Senegal	Brazil	0	
Senegal	Colombia	0	
Senegal	Peru	0	
Senegal	Uruguay	0	
Senegal	Italy	3	
Senegal	Netherlands	0	
Senegal	Ukraine	0	
Tunisia	Tunisia	10	10
Tunisia	Morocco	0	
Tunisia	Nigeria	0	
Tunisia	Senegal	0	
Tunisia	Egypt	2	
Tunisia	Australia	0	
Tunisia	Iran	0	
Tunisia	Japan	0	
Tunisia	South Korea	0	
Tunisia	Saudi Arabia	5	
Tunisia	Belgium	1	
Tunisia	Croatia	0	
Tunisia	Denmark	0	
Tunisia	England	1	
Tunisia	France	7	
